serviceapprovalgranteddate, qualityarea3rating, phone, numberofapprovedplaces, fax, provider_approval_number, overallrating, providerlegalname, servicename, state, qualityarea6rating, qualityarea2rating, qualityarea7rating, serviceaddress, postcode, qualityarea4rating, conditions_on_approval, serviceapprovalnumber, qualityarea1rating, suburb, ogc_fid, qualityarea5rating, email_address
"2009-04-09T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","9675 5978                                                                                                                                                                                                                                                      ",90.0,"02 9144 2685                                                                                                                                                                                                                                                   ","PR-00004982                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Kinda-Mindi Early Learning Centre                                                                                                                                                                                                                              ","Kinda-Mindi Early Learning Centre                                                                                                                                                                                                                              ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","2 Stone Street                                                                                                                                                                                                                                                 ",2761.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ",null,"SE-00007354                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","GLENDENNING                                                                                                                                                                                                                                                    ",7132,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","b_cparker@hotmail.com                                                                                                                                                                                                                                          "
"2006-08-27T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","02 9625 6917                                                                                                                                                                                                                                                   ",36.0,null,"PR-00003480                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Kindy Kollege Mount Druitt                                                                                                                                                                                                                                     ","Kindy Kollege Mount Druitt                                                                                                                                                                                                                                     ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","5-7 Alan Street                                                                                                                                                                                                                                                ",2770.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 "," It is a condition of this approval that the children that are the subject of the emergency placement referred to in an application by the approved provider dated 11 October 2013 must be accommodated in the first vacancies that become available at the service while the children are still attending the service.","SE-00012356                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","MOUNT DRUITT                                                                                                                                                                                                                                                   ",7175,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","l.capolino@bigpond.com                                                                                                                                                                                                                                         "
"2011-09-26T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 9675 1831                                                                                                                                                                                                                                                   ",37.0,null,"PR-00003997                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Kingdom of Angels Childcare Centre                                                                                                                                                                                                                             ","Kingdom of Angels Childcare Centre                                                                                                                                                                                                                             ","NSW                                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","2 Finisterre Ave                                                                                                                                                                                                                                               ",2770.0,"Working Towards NQS                                                                                                                                                                                                                                            ",null,"SE-00007914                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","WHALAN                                                                                                                                                                                                                                                         ",7220,"Working Towards NQS                                                                                                                                                                                                                                            ","sanaghazal@gmail.com                                                                                                                                                                                                                                           "
"2009-05-06T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9628 5583                                                                                                                                                                                                                                                   ",40.0,"02 9628 6108                                                                                                                                                                                                                                                   ","PR-00004547                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","KU - Shalvey Preschool                                                                                                                                                                                                                                         ","KU - Shalvey Preschool                                                                                                                                                                                                                                         ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Corner Sidwell Avenue & Hopman Crescent                                                                                                                                                                                                                        ",2770.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00008043                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","SHALVEY                                                                                                                                                                                                                                                        ",7402,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","ku.shalvey@bigpond.com                                                                                                                                                                                                                                         "
"2008-08-29T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9628 6655                                                                                                                                                                                                                                                   ",20.0,"02 9628 0651                                                                                                                                                                                                                                                   ","PR-00005345                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Lethbridge Park Public School Preschool                                                                                                                                                                                                                        ","Lethbridge Park Public School Preschool                                                                                                                                                                                                                        ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Copeland Road                                                                                                                                                                                                                                                  ",2770.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00008137                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","LETHBRIDGE PARK                                                                                                                                                                                                                                                ",7715,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","lethbridpk-p.School@det.nsw.edu.au                                                                                                                                                                                                                             "
"2013-04-22T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","416099207                                                                                                                                                                                                                                                      ",77.0,null,"PR-00003204                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Little Smarties Childcare Centre                                                                                                                                                                                                                               ","Little Smarties Childcare Centre                                                                                                                                                                                                                               ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","35 Colorado Dr                                                                                                                                                                                                                                                 ",2759.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-40000422                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","ST CLAIR                                                                                                                                                                                                                                                       ",8008,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","mona.littlesmarties@gmail.com                                                                                                                                                                                                                                  "
"2009-04-27T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","0437 966 169                                                                                                                                                                                                                                                   ",46.0,"02 4722 5548                                                                                                                                                                                                                                                   ","PR-40000873                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Little Triumphs Early Learning Centre                                                                                                                                                                                                                          ","Little Triumphs Early Learning Centre                                                                                                                                                                                                                          ","NSW                                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","18 Mariana Crescent                                                                                                                                                                                                                                            ",2770.0,"Working Towards NQS                                                                                                                                                                                                                                            ",null,"SE-00008136                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","LETHBRIDGE PARK                                                                                                                                                                                                                                                ",8105,"Working Towards NQS                                                                                                                                                                                                                                            ","michellekeen.72@gmail.com                                                                                                                                                                                                                                      "
"2008-12-04T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9625 7144                                                                                                                                                                                                                                                   ",40.0,"29 8321 1470                                                                                                                                                                                                                                                   ","PR-00005345                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Madang Avenue Public School Preschool                                                                                                                                                                                                                          ","Madang Avenue Public School Preschool                                                                                                                                                                                                                          ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Mimika Avenue                                                                                                                                                                                                                                                  ",2770.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00008300                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","WHALAN                                                                                                                                                                                                                                                         ",8284,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","madangave-p.School@det.nsw.edu.au                                                                                                                                                                                                                              "
"2009-06-01T00:00:00.000+0000","Meeting NQS                                                                                                                                                                                                                                                    ","02 9628 6939                                                                                                                                                                                                                                                   ",39.0,"02 9628 7188                                                                                                                                                                                                                                                   ","PR-00003242                                                                                                                                                                                                                                                    ","Meeting NQS                                                                                                                                                                                                                                                    ","Margaret Druitt Day Care Centre                                                                                                                                                                                                                                ","Margaret Druitt Day Care Centre                                                                                                                                                                                                                                ","NSW                                                                                                                                                                                                                                                            ","Exceeding NQS                                                                                                                                                                                                                                                  ","Meeting NQS                                                                                                                                                                                                                                                    ","Meeting NQS                                                                                                                                                                                                                                                    ","252 Luxford Road                                                                                                                                                                                                                                               ",2770.0,"Meeting NQS                                                                                                                                                                                                                                                    ",null,"SE-00008326                                                                                                                                                                                                                                                    ","Meeting NQS                                                                                                                                                                                                                                                    ","EMERTON                                                                                                                                                                                                                                                        ",8422,"Meeting NQS                                                                                                                                                                                                                                                    ","sarita@parravinnies.org                                                                                                                                                                                                                                        "
"2007-10-31T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 9832 7977                                                                                                                                                                                                                                                   ",40.0,"02 9677 0950                                                                                                                                                                                                                                                   ","PR-00004024                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Maria Howey Child Care Centre                                                                                                                                                                                                                                  ","Maria Howey Child Care Centre                                                                                                                                                                                                                                  ","NSW                                                                                                                                                                                                                                                            ","Meeting NQS                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Exceeding NQS                                                                                                                                                                                                                                                  ","46 Minchin Drive                                                                                                                                                                                                                                               ",2770.0,"Meeting NQS                                                                                                                                                                                                                                                    ",null,"SE-00008327                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","MINCHINBURY                                                                                                                                                                                                                                                    ",8429,"Working Towards NQS                                                                                                                                                                                                                                            ","pushpa.coulton@blacktown.nsw.gov.au                                                                                                                                                                                                                            "
